,Mês,Identificação,Nome do Produto,Un,Quantidade,Custo Unitário,Custo Total,Valor Unitário,Valor Total,Margem
209,Fevereiro,1251,HELANCA 100% POLIESTER - AMARELO OURO,KG,2.5,17.708,44.27,35.92,89.81,50.71
210,Fevereiro,1127,HELANCA 100% POLIESTER - AZUL MARINHO,KG,1262.25,17.1488,21646.19,31.25,39447.23,45.13
211,Fevereiro,1125,HELANCA 100% POLIESTER - AZUL ROYAL,KG,540.59,17.282,9342.53,31.25,16893.6,44.7
212,Fevereiro,1129,HELANCA 100% POLIESTER - BRANCA,KG,123.89,17.8699,2213.91,32.71,4052.57,45.37
213,Fevereiro,1580,HELANCA 100% POLIESTER - CHUMBO,KG,63.41,19.4712,1234.67,31.71,2010.45,38.59
214,Fevereiro,1253,HELANCA 100% POLIESTER - LARANJA,KG,30.855,20.5302,633.46,30.28,934.19,32.19
215,Fevereiro,1633,HELANCA 100% POLIESTER - MARROM,KG,1.0,21.9,21.9,38.5,38.5,43.12
216,Fevereiro,1248,HELANCA 100% POLIESTER - PRETO,KG,189.5,20.61,3905.6,31.2,5911.69,33.93
217,Fevereiro,1249,HELANCA 100% POLIESTER - VERDE BANDEIRA,KG,70.31,17.0601,1199.5,32.61,2293.03,47.69
218,Fevereiro,1343,HELANCA 100% POLIESTER - VERDE MUSGO,KG,1.0,18.98,18.98,38.5,38.5,50.7
219,Fevereiro,1130,HELANCA 100% POLIESTER - VERMELHO,KG,92.17,21.3599,1968.75,33.67,3103.49,36.56
220,Fevereiro,1543,MALHA ESPORTIVA 100% POLIESTER -AMARELO,KG,55.28,24.8303,1372.62,39.3,2172.42,36.82
221,Fevereiro,1502,MALHA ESPORTIVA 100% POLIESTER -BANDEIRA,KG,4.12,26.182,107.87,41.18,169.65,36.42
222,Fevereiro,1146,MALHA ESPORTIVA 100% POLIESTER -BRANCO,KG,4316.645,19.7204,85126.02,33.62,145137.84,41.35
223,Fevereiro,1529,MALHA ESPORTIVA 100% POLIESTER -LARANJA,KG,38.49,28.9197,1113.12,40.19,1546.77,28.04
224,Fevereiro,1530,MALHA ESPORTIVA 100% POLIESTER -LIMAO,KG,28.99,22.8599,662.71,45.26,1312.12,49.49
225,Fevereiro,1573,MALHA ESPORTIVA 100% POLIESTER -MARINHO,KG,32.36,20.8198,673.73,40.02,1295.14,47.98
226,Fevereiro,1577,MALHA ESPORTIVA 100% POLIESTER -PINK,KG,17.24,26.1803,451.35,43.35,747.28,39.6
227,Fevereiro,1565,MALHA ESPORTIVA 100% POLIESTER -PRATA,KG,42.95,19.0384,817.7,39.07,1677.88,51.27
228,Fevereiro,1501,MALHA ESPORTIVA 100% POLIESTER -PRETO,KG,375.34,21.4242,8041.36,37.91,14230.26,43.49
229,Fevereiro,1156,MALHA ESPORTIVA 100% POLIESTER -ROYAL,KG,135.29,20.8699,2823.5,36.35,4918.4,42.59
230,Fevereiro,1500,MALHA ESPORTIVA 100% POLIESTER -VERMELHO,KG,71.72,22.0436,1580.97,37.77,2709.0,41.64
231,Fevereiro,1570,MEIA MALHA 100% POLIESTER - AM CANARIO,KG,153.13,18.1651,2781.63,35.35,5412.42,48.61
232,Fevereiro,1568,MEIA MALHA 100% POLIESTER - AZ MARINHO,KG,366.97,18.4753,6779.89,31.46,11545.46,41.28
233,Fevereiro,1571,MEIA MALHA 100% POLIESTER - AZ MOTORISTA,KG,265.44,16.9397,4496.5,34.06,9041.55,50.27
234,Fevereiro,1567,MEIA MALHA 100% POLIESTER - AZUL ROYAL,KG,591.62,21.37,12642.92,32.27,19090.82,33.77
